"","Pathogen","Disease","AgeGroup","CostItem","median","5%","95%"
"1","All gastro pathogens","Gastroenteritis","<5","GPSpecialist",2173417.46639542,1190550.91580536,3612973.65732661
"2","All gastro pathogens","Gastroenteritis","<5","ED",4304980.8164221,2061242.5319385,8582249.88817587
"3","All gastro pathogens","Gastroenteritis","<5","Medications",2015011.01761347,1050875.56253953,3563952.80326798
"4","All gastro pathogens","Gastroenteritis","<5","Tests",535621.543492945,228725.788140217,1194033.54104196
"5","All gastro pathogens","Gastroenteritis","<5","Hospitalisation",9126272.65651133,4775084.61090675,16075884.2156802
"6","All gastro pathogens","Gastroenteritis","<5","Deaths",4086926.09847618,1864222.28295226,8279619.28081182
"7","All gastro pathogens","Gastroenteritis","<5","WTP",9666560.1140731,5543617.22114479,15526284.6520034
"8","All gastro pathogens","Gastroenteritis","<5","WTPOngoing",0,0,0
"9","All gastro pathogens","Gastroenteritis","<5","HumanCapital",62685351.2056819,30540835.6831146,124633635.238164
"10","All gastro pathogens","Gastroenteritis","<5","FrictionHigh",50148280.9645455,24432668.5464917,99706908.1905311
"11","All gastro pathogens","Gastroenteritis","<5","FrictionLow",18805605.3617046,9162250.70493439,37390090.5714492
"12","All gastro pathogens","Gastroenteritis","<5","TotalHumanCapital",96455883.0188936,56135036.4636657,166647222.716401
"13","All gastro pathogens","Gastroenteritis","<5","TotalFrictionHigh",83920318.7514337,49837611.6812783,141857060.760587
"14","All gastro pathogens","Gastroenteritis","<5","TotalFrictionLow",52453045.9252266,33515488.6653385,80672854.9963503
"15","All gastro pathogens","Gastroenteritis","5-64","GPSpecialist",27408255.6337267,15032540.3432258,45623436.4858871
"16","All gastro pathogens","Gastroenteritis","5-64","ED",54315792.2028327,25953929.65236,108130484.252877
"17","All gastro pathogens","Gastroenteritis","5-64","Medications",18946548.501274,10401541.7816106,31410560.8804368
"18","All gastro pathogens","Gastroenteritis","5-64","Tests",6750238.53224551,2878093.52545454,15129811.0000651
"19","All gastro pathogens","Gastroenteritis","5-64","Hospitalisation",52216081.7390038,27290422.819062,91828476.3128717
"20","All gastro pathogens","Gastroenteritis","5-64","Deaths",30411133.2500882,15657112.6172023,54686598.7727303
"21","All gastro pathogens","Gastroenteritis","5-64","WTP",118845610.097748,66932276.9368209,192708653.306297
"22","All gastro pathogens","Gastroenteritis","5-64","WTPOngoing",0,0,0
"23","All gastro pathogens","Gastroenteritis","5-64","HumanCapital",1186818661.85245,650679001.442971,1983862521.06107
"24","All gastro pathogens","Gastroenteritis","5-64","FrictionHigh",949454929.481957,520543201.154377,1587090016.84886
"25","All gastro pathogens","Gastroenteritis","5-64","FrictionLow",356045598.555734,195203700.432891,595158756.318322
"26","All gastro pathogens","Gastroenteritis","5-64","TotalHumanCapital",1505821412.99464,869846349.494136,2431463606.44001
"27","All gastro pathogens","Gastroenteritis","5-64","TotalFrictionHigh",1268365324.73992,739272007.873388,2036627638.42073
"28","All gastro pathogens","Gastroenteritis","5-64","TotalFrictionLow",674217240.342094,411344902.976678,1048852667.28312
