"","Measure","Pathogen","Disease","AgeGroup","median","5%","95%"
"1","Deaths","All gastro pathogens","Gastroenteritis","<5",0.830907320366861,0.382708060392223,1.69021252177406
"2","Deaths","All gastro pathogens","Gastroenteritis","5-64",6.18171403796955,3.18164101475003,11.1270810711118
"3","Deaths","All gastro pathogens","Gastroenteritis","65+",30.1869363096603,15.7637831925282,53.2270282101945
"4","Deaths","All gastro pathogens","Gastroenteritis","All Ages",37.720142331519,22.6136456295728,60.9741792908461
"5","Deaths","All gastro pathogens","ReactiveArthritis","<5",0.0340342536034116,0.00381797619847457,0.157967173605686
"6","Deaths","All gastro pathogens","ReactiveArthritis","5-64",0.0319477730525293,0.00330409170116162,0.171558925445273
"7","Deaths","All gastro pathogens","ReactiveArthritis","65+",0.0392088742743922,0.00375301434269896,0.220753110757644
"8","Deaths","All gastro pathogens","ReactiveArthritis","All Ages",0.143055825174068,0.0420737567789677,0.391635370497943
"9","Deaths","All gastro pathogens","IBS","<5",0.00965358155343643,0.000758601222102477,0.0529474952183051
"10","Deaths","All gastro pathogens","IBS","5-64",0.00858059829670761,0.00062960338551763,0.0577303596264771
"11","Deaths","All gastro pathogens","IBS","65+",0.373366126851195,0.174445941910571,0.893344101592191
"12","Deaths","All gastro pathogens","IBS","All Ages",0.407293301049004,0.200747974331693,0.927770641829317
"13","Deaths","All gastro pathogens","GBS","<5",0.0117673552244133,9.62299598176385e-05,0.114452202879436
"14","Deaths","All gastro pathogens","GBS","5-64",0.997582814345091,0.407223004059821,2.0497798126478
"15","Deaths","All gastro pathogens","GBS","65+",6.50229067338399,2.82356619461317,12.0854192596313
"16","Deaths","All gastro pathogens","GBS","All Ages",7.62192578519069,3.8333268755196,13.261517176766
"17","Deaths","All gastro pathogens","HUS","<5",0.107842165637571,0.0188630773730252,0.379484048520004
"18","Deaths","All gastro pathogens","HUS","5-64",1.1810969536311,0.549218969412711,2.32895858250785
"19","Deaths","All gastro pathogens","HUS","65+",0.201898770779469,0.0475273827930947,0.609601272293023
"20","Deaths","All gastro pathogens","HUS","All Ages",1.57908533607292,0.85247886290133,2.78536520003738
"21","Deaths","All gastro pathogens","Initial and Sequel Disease","<5",1.07486779082566,0.56985435737136,1.96140938241534
"22","Deaths","All gastro pathogens","Initial and Sequel Disease","5-64",8.64182571604564,5.35790141808401,13.7261023509253
"23","Deaths","All gastro pathogens","Initial and Sequel Disease","65+",37.8605426393488,22.522562348927,61.3122044733041
"24","Deaths","All gastro pathogens","Initial and Sequel Disease","All Ages",48.0544176973489,32.0965513009855,71.7221012971098
"25","Deaths","Norovirus","Norovirus","<5",0.00803509011695387,6.31426792131038e-05,0.0907203652811297
"26","Deaths","Norovirus","Norovirus","5-64",0.287428703086766,0.0688396079367458,0.775719319168633
"27","Deaths","Norovirus","Norovirus","65+",0.470573088785361,0.117905768174746,1.20681388022204
"28","Deaths","Norovirus","Norovirus","All Ages",0.835470459387467,0.343177943675476,1.67740054889891
"29","Deaths","Norovirus","Initial and Sequel Disease","<5",0.00803509011695387,6.31426792131038e-05,0.0907203652811297
"30","Deaths","Norovirus","Initial and Sequel Disease","5-64",0.287428703086766,0.0688396079367458,0.775719319168633
"31","Deaths","Norovirus","Initial and Sequel Disease","65+",0.470573088785361,0.117905768174746,1.20681388022204
"32","Deaths","Norovirus","Initial and Sequel Disease","All Ages",0.835470459387467,0.343177943675476,1.67740054889891
"33","Deaths","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5",0.0113713558892331,9.57586943560093e-05,0.122230186898679
"34","Deaths","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64",0.373519229696121,0.118617829387822,1.07346794922277
"35","Deaths","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+",0.14107360182192,0.0284782785005038,0.530412224415389
"36","Deaths","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages",0.600311850461897,0.245692580120552,1.37342368260452
"37","Deaths","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5",0.0113713558892331,9.57586943560093e-05,0.122230186898679
"38","Deaths","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64",0.373519229696121,0.118617829387822,1.07346794922277
"39","Deaths","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+",0.14107360182192,0.0284782785005038,0.530412224415389
"40","Deaths","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages",0.600311850461897,0.245692580120552,1.37342368260452
"41","Deaths","Campylobacter","Campylobacteriosis","<5",0.250108721867306,0.0461482238915891,0.80287192816504
"42","Deaths","Campylobacter","Campylobacteriosis","5-64",1.33727387761998,0.63507166049463,2.54940684547289
"43","Deaths","Campylobacter","Campylobacteriosis","65+",1.76764785754403,0.847522613323397,3.33368591930206
"44","Deaths","Campylobacter","Campylobacteriosis","All Ages",3.52438786889953,2.17214658176269,5.47804173901483
"45","Deaths","Campylobacter","ReactiveArthritis","<5",0.011839793794179,0.000100511526355134,0.113444690524968
"46","Deaths","Campylobacter","ReactiveArthritis","5-64",0.0169198332451268,0.000142189728237696,0.154016390482039
"47","Deaths","Campylobacter","ReactiveArthritis","65+",0.0223943407441292,0.000188821746710393,0.203004822480251
"48","Deaths","Campylobacter","ReactiveArthritis","All Ages",0.088701414726757,0.0123357304703881,0.332778927187552
"49","Deaths","Campylobacter","IBS","<5",0.00393464814904472,3.40126621189718e-05,0.0404413657234795
"50","Deaths","Campylobacter","IBS","5-64",0.00514991842644047,4.47906021140472e-05,0.0535949999152556
"51","Deaths","Campylobacter","IBS","65+",0.303709141995388,0.119789835781441,0.826238030053762
